src,recv_epoch,qw,qx,qy,qz,roll,pitch,yaw,ax,ay,az,gx,gy,gz
sportmodestate,1790277723.866201,0.998697877,0.000414128415,-0.0507506244,-0.00519428262,0.00136141677,-0.10153918,-0.0104711941,0.957680702,0.108936176,9.35654068,-0.0191747583,0.0149137005,-0.0031957929
sportmodestate,1790277723.869504,0.998697877,0.000414128415,-0.0507506244,-0.00519428262,0.00136141677,-0.10153918,-0.0104711941,0.957680702,0.108936176,9.35654068,-0.0191747583,0.0149137005,-0.0031957929
sportmodestate,1790277723.872428,0.998697877,0.000414128415,-0.0507506244,-0.00519428262,0.00136141677,-0.10153918,-0.0104711941,0.957680702,0.108936176,9.35654068,-0.0191747583,0.0149137005,-0.0031957929
sportmodestate,1790277723.875634,0.998697877,0.000414128415,-0.0507506244,-0.00519428262,0.00136141677,-0.10153918,-0.0104711941,0.957680702,0.108936176,9.35654068,-0.0191747583,0.0149137005,-0.0031957929
sportmodestate,1790277723.879119,0.998697877,0.000414128415,-0.0507506244,-0.00519428262,0.00136141677,-0.10153918,-0.0104711941,0.957680702,0.108936176,9.35654068,-0.0191747583,0.0149137005,-0.0031957929
sportmodestate,1790277723.882133,0.998697877,0.000414128415,-0.0507506244,-0.00519428262,0.00136141677,-0.10153918,-0.0104711941,0.957680702,0.108936176,9.35654068,-0.0191747583,0.0149137005,-0.0031957929
sportmodestate,1790277723.885706,0.998696566,0.000439796364,-0.0507745109,-0.00520791067,0.00141459762,-0.101586714,-0.0105012357,1.00197339,0.123301387,9.378088,-0.00852211472,0.00213052868,-0.0106526427
sportmodestate,1790277723.888928,0.998696327,0.000431559281,-0.0507793352,-0.00520498445,0.00139781262,-0.101596467,-0.0104945311,0.976834297,0.136469498,9.29189682,-0.0223705508,0.0117179072,-0.0191747583
sportmodestate,1790277723.892336,0.998695672,0.000437171897,-0.0507896356,-0.00521139102,0.00140984601,-0.101617008,-0.0105079934,0.976834297,0.136469498,9.29189682,0,0.00532632135,-0.00852211472
sportmodestate,1790277723.895806,0.998696089,0.000434668269,-0.0507824421,-0.00520852068,0.00140444911,-0.101602636,-0.0105019556,0.954089403,0.107739076,9.31344414,-0.015978964,0.0063915858,-0.00852211472
sportmodestate,1790277723.899224,0.998696625,0.00043007452,-0.0507734269,-0.00520557538,0.00139482878,-0.101584651,-0.0104955509,0.970848799,0.132878199,9.32900715,-0.0213052854,0.0266316086,-0.00213052868
sportmodestate,1790277723.902821,0.998696804,0.000424518716,-0.0507691689,-0.00520435581,0.00138350413,-0.101576179,-0.0104925251,0.970848799,0.132878199,9.32900715,-0.0202400219,0.00426105736,-0.00426105736
sportmodestate,1790277723.905865,0.998696983,0.000416266266,-0.0507671237,-0.00519333454,0.00136578863,-0.101572186,-0.0104695493,0.962469101,0.150834709,9.33379555,-0.0127831716,0.018109493,-0.00532632135
sportmodestate,1790277723.909249,0.998696566,0.000398028875,-0.0507764108,-0.00518370047,0.00132828823,-0.101590984,-0.0104483683,0.949300945,0.0981622711,9.34097767,-0.00745685026,-0.00426105736,-0.0106526427
sportmodestate,1790277723.913236,0.998696804,0.000399050768,-0.0507713407,-0.00518692797,0.00133061549,-0.101580814,-0.0104549406,0.949300945,0.0981622711,9.34097767,-0.0213052854,0.0170442294,-0.00852211472
sportmodestate,1790277723.915885,0.998696923,0.000395134557,-0.0507694185,-0.00518831145,0.00132287329,-0.101577014,-0.0104573136,0.948103845,0.120907187,9.31703568,-0.00745685026,0.0031957929,-0.0117179072
sportmodestate,1790277723.919455,0.998696327,0.000404753257,-0.0507789366,-0.00520276465,0.00134376215,-0.101595953,-0.0104873367,0.963666201,0.140060797,9.34576607,-0.0117179072,0.0127831716,-0.00958737917
sportmodestate,1790277723.922539,0.998696327,0.000404753257,-0.0507789366,-0.00520276465,0.00134376215,-0.101595953,-0.0104873367,0.963666201,0.140060797,9.34576607,-0.0117179072,0.0127831716,-0.00958737917
sportmodestate,1790277723.926018,0.998696923,0.000405032421,-0.0507684238,-0.00519919116,0.00134384539,-0.101574905,-0.0104801655,1.00197339,0.161608621,9.3493576,-0.0117179072,0.00426105736,-0.0138484361
sportmodestate,1790277723.929124,0.998696804,0.000410440145,-0.0507707112,-0.00519502303,0.00135430193,-0.101579428,-0.0104723545,0.994790792,0.160411507,9.33379555,-0.0117179072,0.0106526427,-0.00426105736
sportmodestate,1790277723.932717,0.998696387,0.000418102136,-0.0507771745,-0.00520450855,0.00137072254,-0.101592273,-0.0104921972,0.994790792,0.160411507,9.33379555,-0.00745685026,0.0127831716,-0.015978964
sportmodestate,1790277723.935901,0.998697221,0.000423091231,-0.050761871,-0.00520883268,0.00138101669,-0.101561576,-0.0105013493,0.92775315,0.0909796655,9.34816074,-0.00958737917,0.0287621357,-0.00213052868
sportmodestate,1790277723.939224,0.998696983,0.000428296393,-0.0507671237,-0.00519970804,0.00139059231,-0.101572052,-0.0104835741,0.993593693,0.14963761,9.31105042,-0.00532632135,-0.00106526434,0
sportmodestate,1790277723.942600,0.998696506,0.000428368105,-0.050776042,-0.00520318095,0.00139118626,-0.101589911,-0.0104905758,0.993593693,0.14963761,9.31105042,-0.0127831716,0.00745685026,-0.0106526427
sportmodestate,1790277723.945794,0.998696506,0.000430712476,-0.0507762507,-0.00519539462,0.00139510061,-0.101590306,-0.0104751829,0.975637197,0.150834709,9.32661247,-0.0213052854,0.0191747583,-0.00213052868
sportmodestate,1790277723.949287,0.998696685,0.00042037433,-0.0507748835,-0.00518560456,0.00137333036,-0.101587698,-0.0104544675,0.975637197,0.150834709,9.32661247,-0.0191747583,-0.0031957929,-0.00958737917
sportmodestate,1790277723.952714,0.998697162,0.000415393384,-0.0507653654,-0.00517791836,0.00136244402,-0.101568699,-0.0104385037,0.936132848,0.137666598,9.27872849,-0.0191747583,0.0287621357,0.00426105736
sportmodestate,1790277723.955760,0.998697042,0.000419209246,-0.0507673025,-0.00518626999,0.00137097819,-0.101572528,-0.0104556661,0.952892303,0.0945709646,9.30506516,-0.00426105736,-0.00532632135,-0.0063915858
sportmodestate,1790277723.959477,0.998696744,0.000426200218,-0.0507712439,-0.00519196643,0.00138563791,-0.101580329,-0.0104678264,0.952892303,0.0945709646,9.30506516,-0.0138484361,0.015978964,-0.0191747583
sportmodestate,1790277723.962965,0.998697102,0.000425136648,-0.0507652313,-0.00518515427,0.00138274312,-0.101568311,-0.0104540251,0.9672575,0.138863698,9.36491966,-0.0127831716,0.00958737917,-0.00213052868
sportmodestate,1790277723.966024,0.99869734,0.000417342642,-0.0507603511,-0.00519273989,0.0013678167,-0.101558611,-0.0104684485,0.948103845,0.16879122,9.33379555,-0.0117179072,0.018109493,-0.00532632135
sportmodestate,1790277723.969260,0.998696744,0.00042689871,-0.0507708676,-0.0051975511,0.00138760626,-0.101579554,-0.0104791103,0.948103845,0.16879122,9.33379555,-0.0149137005,0.0287621357,-0.00426105736
sportmodestate,1790277723.972906,0.998696566,0.000429979293,-0.050775025,-0.00519887498,0.00139397068,-0.101587854,-0.0104820915,0.9672575,0.135272399,9.38048267,-0.018109493,0.0138484361,-0.00745685026
sportmodestate,1790277723.975913,0.998696864,0.000431322958,-0.0507701375,-0.00519092148,0.00139580434,-0.101578064,-0.0104662478,1.02112699,0.136469498,9.32062721,-0.018109493,0.0063915858,-0.00213052868
sportmodestate,1790277723.979482,0.99869746,0.000431119697,-0.0507581308,-0.00519165024,0.00139534252,-0.101554029,-0.0104676606,1.02112699,0.136469498,9.32062721,-0.00852211472,0.0372842513,-0.00106526434
sportmodestate,1790277723.982535,0.998696685,0.00044187624,-0.0507722609,-0.00519463606,0.00141739461,-0.101582199,-0.0104747899,0.992396593,0.107739076,9.33978081,-0.0031957929,-0.00852211472,-0.0191747583
sportmodestate,1790277723.986131,0.998696923,0.000434662448,-0.0507671311,-0.00519591896,0.00140298728,-0.101571999,-0.0104766162,0.956483603,0.138863698,9.354146,-0.0255663432,0.0276968721,-0.0202400219
sportmodestate,1790277723.989456,0.998697579,0.000426676823,-0.0507550612,-0.00518619921,0.0013858336,-0.101547927,-0.0104562566,0.956483603,0.138863698,9.354146,-0.0234358143,0.0255663432,0.0031957929
