src,recv_epoch,qw,qx,qy,qz,roll,pitch,yaw,ax,ay,az,gx,gy,gz
sportmodestate,1790114961.729730,0.991300821,-0.00211688154,-0.0419238806,-0.124742597,0.00628451956,-0.0837443322,-0.250621915,0.82001406,0.153228909,9.40442467,-0.00532632135,-0.0031957929,-0.00426105736
sportmodestate,1790114961.732845,0.991301119,-0.00212086947,-0.0419190899,-0.124742001,0.00627532927,-0.0837358236,-0.250620216,0.82001406,0.153228909,9.40442467,-0.015978964,0.0223705508,0
sportmodestate,1790114961.736098,0.991300702,-0.00211578398,-0.041914925,-0.124746598,0.00628478779,-0.0837262496,-0.250629812,0.814028561,0.180762231,9.38766479,-0.0170442294,0.0330231935,-0.0117179072
sportmodestate,1790114961.739446,0.991301179,-0.0021211931,-0.0419176593,-0.124741532,0.00627428666,-0.0837330595,-0.250619262,0.769735873,0.18674773,9.41759205,-0.00745685026,-0.00106526434,-0.0063915858
sportmodestate,1790114961.742850,0.991302073,-0.00213833433,-0.0419116579,-0.124735855,0.00623819418,-0.0837254599,-0.250606179,0.769735873,0.18674773,9.41759205,-0.0170442294,-0.00532632135,0.00106526434
sportmodestate,1790114961.746204,0.991302133,-0.00214364449,-0.0419128761,-0.124735028,0.00622786628,-0.083729215,-0.250604123,0.828393817,0.216675252,9.35534286,-0.0266316086,0.0351537205,-0.00106526434
sportmodestate,1790114961.749540,0.991301119,-0.00214100513,-0.041917976,-0.124741644,0.0062349597,-0.0837386549,-0.250617862,0.785298169,0.208295554,9.33020401,-0.0127831716,0.029827401,-0.00532632135
sportmodestate,1790114961.752790,0.991301,-0.00213804608,-0.0419231839,-0.12474066,0.006242075,-0.0837482512,-0.250616252,0.785298169,0.208295554,9.33020401,-0.00532632135,0.0031957929,-0.0031957929
sportmodestate,1790114961.756318,0.991300344,-0.00213985774,-0.0419341326,-0.124742754,0.00624140026,-0.0837704465,-0.250620604,0.738611221,0.187944829,9.44991398,-0.0063915858,-0.00958737917,-0.00852211472
sportmodestate,1790114961.759841,0.991301119,-0.00214830437,-0.0419233702,-0.124740109,0.00622166507,-0.0837512016,-0.250614285,0.81642276,0.207098454,9.43554878,-0.0191747583,0.00958737917,-0.0031957929
sportmodestate,1790114961.763045,0.991300285,-0.0021416652,-0.0419301577,-0.124744453,0.006236949,-0.0837629884,-0.250623792,0.81642276,0.207098454,9.43554878,-0.00426105736,0.00745685026,-0.00745685026
sportmodestate,1790114961.766359,0.991301835,-0.00213252474,-0.0419223048,-0.124735191,0.00625237357,-0.0837451741,-0.250605613,0.806845963,0.172382519,9.45350552,-0.00213052868,0.0170442294,0.00426105736
sportmodestate,1790114961.769737,0.991300166,-0.00213206606,-0.041926153,-0.124746837,0.00625524111,-0.0837526172,-0.250629306,0.81881696,0.199915841,9.3637228,-0.0127831716,0.018109493,-0.0170442294
sportmodestate,1790114961.773091,0.991299272,-0.00213318435,-0.0419398211,-0.124749057,0.00625664368,-0.0837800279,-0.250634074,0.81881696,0.199915841,9.3637228,-0.0117179072,0.00958737917,0
sportmodestate,1790114961.776397,0.991300106,-0.00212129299,-0.0419375636,-0.12474376,0.00627928413,-0.0837726146,-0.250624269,0.773327172,0.193930343,9.37928486,0.0031957929,0.015978964,0
sportmodestate,1790114961.779867,0.991299272,-0.00212024944,-0.0419376083,-0.124750413,0.00628193421,-0.0837723985,-0.2506378,0.81761986,0.193930343,9.44153404,-0.0106526427,0.0063915858,-0.0106526427
sportmodestate,1790114961.783105,0.991299629,-0.00211933418,-0.0419366248,-0.124747887,0.00628329348,-0.0837702304,-0.250632763,0.81761986,0.193930343,9.44153404,-0.0106526427,0.0149137005,0
sportmodestate,1790114961.786226,0.991300225,-0.00212573819,-0.0419503562,-0.124738,0.0062731714,-0.0837991536,-0.250612617,0.81761986,0.16759412,9.39963627,-0.00426105736,0.00213052868,0
sportmodestate,1790114961.789454,0.991298974,-0.00212303526,-0.041955933,-0.12474598,0.0062806285,-0.0838095024,-0.250629157,0.782903969,0.142454997,9.43794346,-0.00106526434,0.00213052868,-0.00745685026
sportmodestate,1790114961.793071,0.991299093,-0.00212758523,-0.0419476852,-0.124748021,0.00626967382,-0.0837942585,-0.250632644,0.782903969,0.142454997,9.43794346,-0.0287621357,0.0287621357,-0.00106526434
sportmodestate,1790114961.796407,0.991298258,-0.00212182663,-0.0419621505,-0.124750063,0.00628494238,-0.0838215277,-0.25063765,0.836773515,0.202310041,9.42956352,-0.0234358143,0.00852211472,-0.0063915858
sportmodestate,1790114961.799635,0.991297722,-0.00212212186,-0.0419552214,-0.124756865,0.00628318731,-0.0838078037,-0.250651151,0.836773515,0.202310041,9.42956352,-0.0031957929,-0.00213052868,0.00213052868
sportmodestate,1790114961.803051,0.991298139,-0.00211226777,-0.0419461727,-0.12475685,0.00630051317,-0.0837873667,-0.250651687,0.843956113,0.16759412,9.39604473,-0.0117179072,0.0319579281,-0.00213052868
sportmodestate,1790114961.806245,0.991298378,-0.00212119706,-0.0419457965,-0.124754697,0.00628247205,-0.0837888643,-0.250646591,0.772130072,0.191536129,9.33858395,-0.0234358143,0.0468716286,-0.0106526427
sportmodestate,1790114961.809670,0.991298854,-0.00212479569,-0.041950319,-0.124748662,0.00627594115,-0.083798781,-0.250634283,0.725443125,0.195127442,9.39963627,-0.0191747583,0.0255663432,0.00745685026
sportmodestate,1790114961.812968,0.991299629,-0.00212462898,-0.0419378728,-0.124747179,0.00627301494,-0.0837740377,-0.250630945,0.725443125,0.195127442,9.39963627,-0.0149137005,0.0372842513,-0.00213052868
sportmodestate,1790114961.816346,0.991299868,-0.0021360605,-0.0419296399,-0.124747977,0.00624826783,-0.0837605447,-0.250631362,0.815225661,0.173579618,9.43195724,-0.0245010797,0.0127831716,-0.0063915858
sportmodestate,1790114961.819596,0.991299927,-0.00213271542,-0.041935809,-0.124745369,0.00625625439,-0.0837719664,-0.250626564,0.842759013,0.189141929,9.44632244,-0.015978964,0.0330231935,-0.00106526434
sportmodestate,1790114961.822942,0.991299748,-0.00213073613,-0.0419450998,-0.124744073,0.00626241881,-0.0837899372,-0.250624329,0.842759013,0.189141929,9.44632244,-0.00852211472,-0.00745685026,-0.00958737917
sportmodestate,1790114961.826368,0.991299152,-0.00213160599,-0.0419298112,-0.124753676,0.00625765556,-0.0837597325,-0.250643283,0.768538773,0.18674773,9.46068764,-0.00958737917,-0.0031957929,-0.0138484361
sportmodestate,1790114961.830369,0.991300404,-0.00213960884,-0.0419263206,-0.124744654,0.00624009175,-0.0837548524,-0.250624269,0.823605359,0.175973818,9.40562153,-0.00745685026,0.0106526427,0.0031957929
sportmodestate,1790114961.833065,0.991299808,-0.00213462999,-0.041938033,-0.124745347,0.00625300361,-0.0837768614,-0.250626415,0.823605359,0.175973818,9.40562153,0.0031957929,0.00213052868,-0.00852211472
sportmodestate,1790114961.836777,0.991300881,-0.00214516604,-0.0419293344,-0.124740086,0.00622940715,-0.0837622657,-0.250614673,0.840364814,0.181959331,9.38407326,-0.015978964,0.00106526434,0.00106526434
sportmodestate,1790114961.839618,0.991301775,-0.00214632764,-0.0419308618,-0.124732323,0.00622682367,-0.0837656334,-0.250598907,0.784101069,0.193930343,9.38167953,-0.00958737917,0.0031957929,-0.00426105736
sportmodestate,1790114961.842913,0.991301358,-0.00215208391,-0.0419383124,-0.124732442,0.00621725665,-0.0837818608,-0.250598878,0.784101069,0.193930343,9.38167953,-0.0223705508,0.0117179072,-0.0031957929
sportmodestate,1790114961.846138,0.991300821,-0.0021488741,-0.0419500768,-0.124733597,0.0062266984,-0.083804436,-0.250601828,0.769735873,0.192733243,9.44153404,-0.0106526427,-0.0031957929,0
sportmodestate,1790114961.849574,0.991301835,-0.00214370689,-0.0419484712,-0.124725729,0.00623590779,-0.0837999955,-0.250586301,0.823605359,0.172382519,9.40562153,-0.0127831716,-0.00106526434,0.00745685026
sportmodestate,1790114961.853044,0.991302431,-0.00214071036,-0.041948095,-0.124721766,0.00624143891,-0.0837985203,-0.250578493,0.823605359,0.172382519,9.40562153,-0.0202400219,0.0191747583,0.00213052868
sportmodestate,1790114961.856347,0.991300344,-0.00214353623,-0.0419633687,-0.124732837,0.00624059746,-0.0838294849,-0.250601083,0.812831461,0.191536129,9.36611748,-0.00745685026,0.00532632135,-0.0202400219
sportmodestate,1790114961.859784,0.991301596,-0.00214274088,-0.0419492684,-0.124726966,0.00623813644,-0.0838013142,-0.250588924,0.812831461,0.191536129,9.36611748,-0.0149137005,-0.00532632135,0
sportmodestate,1790114961.863007,0.991302609,-0.00214372645,-0.0419374406,-0.12472333,0.0062328917,-0.0837780982,-0.250581145,0.745793819,0.175973818,9.41639519,-0.0319579281,0.0426105708,-0.0031957929
sportmodestate,1790114961.866422,0.991302073,-0.00214018906,-0.0419540592,-0.124722287,0.00624402147,-0.0838102251,-0.250579745,0.745793819,0.175973818,9.41639519,-0.00852211472,0.0127831716,-0.0063915858
sportmodestate,1790114961.869687,0.991302073,-0.00213437527,-0.041946128,-0.124724619,0.00625379058,-0.0837930068,-0.250584722,0.787692368,0.20350714,9.38167953,-0.0149137005,0.0234358143,-0.00532632135
sportmodestate,1790114961.872971,0.991302788,-0.00213644281,-0.0419400781,-0.124721192,0.00624786457,-0.0837815329,-0.25057748,0.833182216,0.192733243,9.40921307,-0.018109493,0.0245010797,0.00213052868
sportmodestate,1790114961.876450,0.991303921,-0.00212792633,-0.041930791,-0.124715455,0.00626198575,-0.0837609917,-0.250566334,0.797269166,0.197521642,9.44632244,-0.015978964,0.0287621357,0.00106526434
sportmodestate,1790114961.879734,0.991302431,-0.00213436596,-0.0419353284,-0.12472561,0.00625117589,-0.0837715492,-0.25058645,0.797269166,0.197521642,9.44632244,-0.0223705508,0.0223705508,-0.0138484361
sportmodestate,1790114961.883045,0.991301358,-0.00213051564,-0.0419382378,-0.124733284,0.00626021763,-0.0837763175,-0.250602365,0.830788016,0.20590134,9.42956352,-0.0063915858,-0.00106526434,-0.015978964
sportmodestate,1790114961.886411,0.991301894,-0.00213148328,-0.0419344082,-0.124730431,0.00625708746,-0.0837689713,-0.250596434,0.81761986,0.155623108,9.39843845,-0.0149137005,0.00745685026,0.0031957929
sportmodestate,1790114961.889630,0.991303325,-0.002142807,-0.0419182144,-0.124724254,0.00622996222,-0.083739683,-0.250582546,0.81761986,0.155623108,9.39843845,-0.018109493,0.0106526427,0.0031957929
sportmodestate,1790114961.892987,0.991304338,-0.00214085006,-0.0419197828,-0.124716111,0.00623355992,-0.0837423652,-0.250566304,0.82001406,0.18435353,9.36491966,-0.00426105736,0.015978964,0.00426105736
sportmodestate,1790114961.896312,0.991305113,-0.00213674759,-0.0419058166,-0.124713808,0.00623801537,-0.083713606,-0.250561595,0.82001406,0.18435353,9.36491966,-0.0213052854,0.0213052854,-0.00532632135
sportmodestate,1790114961.899715,0.991305053,-0.00213424768,-0.0418943726,-0.124718666,0.00624052016,-0.0836902261,-0.250571281,0.798466265,0.191536129,9.44512558,-0.0191747583,0.0372842513,-0.00213052868
sportmodestate,1790114961.903304,0.991304159,-0.00212708069,-0.0419097431,-0.124719888,0.0062587508,-0.0837189406,-0.250574797,0.848744512,0.180762231,9.40442467,-0.00852211472,-0.00213052868,0.00106526434
sportmodestate,1790114961.906409,0.991304994,-0.00213143113,-0.0418983065,-0.124717303,0.00624699937,-0.0836973339,-0.250568897,0.809240162,0.181959331,9.37689114,-0.00852211472,0.0170442294,-0.0031957929
sportmodestate,1790114961.909721,0.991304874,-0.0021280041,-0.0418991968,-0.124718487,0.00625414075,-0.0836982504,-0.250571609,0.809240162,0.181959331,9.37689114,-0.00958737917,0.00106526434,-0.00958737917
sportmodestate,1790114961.912987,0.991305053,-0.00212515565,-0.0419009589,-0.124716446,0.0062600784,-0.0837010518,-0.250567764,0.754173517,0.190339029,9.39484787,-0.0063915858,0.0106526427,-0.00106526434
sportmodestate,1790114961.916249,0.991304338,-0.00212574634,-0.0418977216,-0.1247233,0.00625866838,-0.0836947188,-0.250581503,0.754173517,0.190339029,9.39484787,-0.00958737917,0.00958737917,-0.00745685026
sportmodestate,1790114961.919797,0.991303563,-0.00212998944,-0.0419028439,-0.124726996,0.00625182968,-0.0837059245,-0.250588775,0.802057564,0.199915841,9.36132908,-0.00958737917,0.00106526434,-0.0149137005
