src,recv_epoch,qw,qx,qy,qz,roll,pitch,yaw,ax,ay,az,gx,gy,gz
sportmodestate,1790279533.167378,0.992478073,0.000490672013,-0.0106413104,-0.121958911,0.00357036223,-0.0210043937,-0.244578004,0.234631762,0.144849196,9.45949078,-0.018109493,0.0319579281,-0.0031957929
sportmodestate,1790279533.170523,0.992477357,0.00048317507,-0.0106526902,-0.121963345,0.0035583498,-0.0210287981,-0.2445869,0.269347697,0.191536129,9.44512558,-0.0106526427,0.0149137005,-0.0117179072
sportmodestate,1790279533.173736,0.992478728,0.00047793315,-0.0106463823,-0.121952392,0.00354617136,-0.0210175943,-0.244564667,0.269347697,0.191536129,9.44512558,-0.029827401,0.0362189859,-0.00532632135
sportmodestate,1790279533.176867,0.992478728,0.00047793315,-0.0106463823,-0.121952392,0.00354617136,-0.0210175943,-0.244564667,0.269347697,0.191536129,9.44512558,-0.029827401,0.0362189859,-0.00532632135
sportmodestate,1790279533.180300,0.992479503,0.000485505734,-0.0106587503,-0.12194518,0.00356407138,-0.0210403241,-0.244550392,0.284909993,0.164002821,9.40921307,-0.00532632135,0.00532632135,-0.0106526427
sportmodestate,1790279533.183736,0.992480695,0.000479024951,-0.0106659988,-0.121935233,0.00355276279,-0.0210563317,-0.244530275,0.293289721,0.137666598,9.38527107,-0.018109493,0.0127831716,-0.0127831716
sportmodestate,1790279533.186923,0.992480695,0.000479024951,-0.0106659988,-0.121935233,0.00355276279,-0.0210563317,-0.244530275,0.293289721,0.137666598,9.38527107,-0.018109493,0.0127831716,-0.0127831716
sportmodestate,1790279533.190567,0.992480099,0.000471999054,-0.0106778732,-0.12193875,0.00354178646,-0.0210816041,-0.244537309,0.284909993,0.125695586,9.41759205,-0.0255663432,0.015978964,-0.0063915858
sportmodestate,1790279533.193509,0.992480397,0.000468951388,-0.0106883328,-0.121935308,0.00353821577,-0.0211031251,-0.24453041,0.300472319,0.120907187,9.42477512,-0.0170442294,0.0149137005,0
sportmodestate,1790279533.196868,0.99248004,0.000455785106,-0.0106873317,-0.121938445,0.00351189752,-0.0211043376,-0.244536445,0.300472319,0.120907187,9.42477512,-0.0234358143,0.0138484361,-0.00532632135
sportmodestate,1790279533.200201,0.99247998,0.000437981857,-0.0107049868,-0.121937171,0.00348083349,-0.0211437326,-0.244533673,0.288501292,0.120907187,9.39963627,-0.0138484361,-0.0031957929,-0.0138484361
sportmodestate,1790279533.203822,0.992479086,0.000443372031,-0.010713215,-0.121943846,0.00349368551,-0.0211587306,-0.244547322,0.283712894,0.111330383,9.3493576,-0.00958737917,0.00958737917,-0.0117179072
sportmodestate,1790279533.207120,0.992479265,0.000440448173,-0.0107092559,-0.121943086,0.00348689733,-0.0211515874,-0.244545683,0.283712894,0.111330383,9.3493576,-0.0117179072,0.0117179072,0.0031957929
sportmodestate,1790279533.210305,0.992477834,0.000443106052,-0.0107086431,-0.121954761,0.00349227386,-0.02114968,-0.244569242,0.292092621,0.153228909,9.3637228,-0.0202400219,0.0245010797,-0.00958737917
sportmodestate,1790279533.213666,0.992477775,0.000434434332,-0.010714327,-0.12195503,0.00347644999,-0.0211630799,-0.244569659,0.269347697,0.125695586,9.39005947,-0.0170442294,0.0308926646,-0.00532632135
sportmodestate,1790279533.216927,0.992479265,0.000434127956,-0.0107156094,-0.121942669,0.00347589119,-0.0211657416,-0.24454473,0.269347697,0.125695586,9.39005947,-0.0127831716,0.00958737917,0.00852211472
sportmodestate,1790279533.220233,0.99248004,0.000428992207,-0.0107164942,-0.121935964,0.00346576772,-0.0211687759,-0.244531155,0.244208574,0.117315881,9.44632244,-0.0031957929,0.00213052868,-0.00532632135
sportmodestate,1790279533.223710,0.99248004,0.000434322516,-0.0107132299,-0.121936247,0.00347556011,-0.0211609937,-0.24453181,0.293289721,0.123301387,9.48223591,-0.00958737917,0.0255663432,-0.0031957929
sportmodestate,1790279533.227016,0.992480278,0.000423240359,-0.0107058827,-0.121935032,0.00345173827,-0.0211491156,-0.244529039,0.272938997,0.129286885,9.42477512,-0.0213052854,0.0117179072,-0.00852211472
